FIRST_CRASH_TYPE,total_crashes,injury_crashes,injury_percentage
PEDESTRIAN,16127,14230,88.24
PEDALCYCLIST,11522,8355,72.51
TRAIN,39,20,51.28
OVERTURNED,421,194,46.08
HEAD ON,5561,2057,36.99
ANGLE,73576,18766,25.51
OTHER NONCOLLISION,1633,410,25.11
OTHER OBJECT,6960,1435,20.62
FIXED OBJECT,31306,6354,20.3
TURNING,97571,17787,18.23
REAR END,133428,19530,14.64
SIDESWIPE OPPOSITE DIRECTION,8711,1102,12.65
ANIMAL,532,42,7.89
REAR TO SIDE,6008,411,6.84
SIDESWIPE SAME DIRECTION,99467,6075,6.11
REAR TO FRONT,10197,507,4.97
PARKED MOTOR VEHICLE,155829,7027,4.51
REAR TO REAR,2046,36,1.76
