FIRST_CRASH_TYPE,PRIM_CONTRIBUTORY_CAUSE,cause_count
ANGLE,FAILING TO YIELD RIGHT-OF-WAY,22827
ANGLE,UNABLE TO DETERMINE,22564
ANGLE,DISREGARDING TRAFFIC SIGNALS,9518
ANIMAL,ANIMAL,305
ANIMAL,UNABLE TO DETERMINE,151
ANIMAL,NOT APPLICABLE,24
FIXED OBJECT,UNABLE TO DETERMINE,14453
FIXED OBJECT,NOT APPLICABLE,2894
FIXED OBJECT,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2371
HEAD ON,UNABLE TO DETERMINE,1895
HEAD ON,DRIVING ON WRONG SIDE/WRONG WAY,841
HEAD ON,FAILING TO YIELD RIGHT-OF-WAY,388
OTHER NONCOLLISION,UNABLE TO DETERMINE,570
OTHER NONCOLLISION,NOT APPLICABLE,322
OTHER NONCOLLISION,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,210
OTHER OBJECT,UNABLE TO DETERMINE,3220
OTHER OBJECT,NOT APPLICABLE,1023
OTHER OBJECT,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,323
OVERTURNED,UNABLE TO DETERMINE,216
OVERTURNED,NOT APPLICABLE,30
OVERTURNED,FAILING TO REDUCE SPEED TO AVOID CRASH,22
PARKED MOTOR VEHICLE,UNABLE TO DETERMINE,92565
PARKED MOTOR VEHICLE,NOT APPLICABLE,11099
PARKED MOTOR VEHICLE,IMPROPER BACKING,9245
PEDALCYCLIST,UNABLE TO DETERMINE,4530
PEDALCYCLIST,FAILING TO YIELD RIGHT-OF-WAY,2887
PEDALCYCLIST,NOT APPLICABLE,633
PEDESTRIAN,UNABLE TO DETERMINE,6532
PEDESTRIAN,FAILING TO YIELD RIGHT-OF-WAY,4555
PEDESTRIAN,NOT APPLICABLE,1087
REAR END,UNABLE TO DETERMINE,48399
REAR END,FOLLOWING TOO CLOSELY,48101
REAR END,FAILING TO REDUCE SPEED TO AVOID CRASH,13082
REAR TO FRONT,IMPROPER BACKING,4620
REAR TO FRONT,UNABLE TO DETERMINE,3423
REAR TO FRONT,NOT APPLICABLE,420
REAR TO REAR,UNABLE TO DETERMINE,986
REAR TO REAR,IMPROPER BACKING,621
REAR TO REAR,FAILING TO YIELD RIGHT-OF-WAY,126
REAR TO SIDE,UNABLE TO DETERMINE,2085
REAR TO SIDE,IMPROPER BACKING,1959
REAR TO SIDE,FAILING TO YIELD RIGHT-OF-WAY,859
SIDESWIPE OPPOSITE DIRECTION,UNABLE TO DETERMINE,3715
SIDESWIPE OPPOSITE DIRECTION,DRIVING ON WRONG SIDE/WRONG WAY,659
SIDESWIPE OPPOSITE DIRECTION,IMPROPER OVERTAKING/PASSING,616
SIDESWIPE SAME DIRECTION,UNABLE TO DETERMINE,38105
SIDESWIPE SAME DIRECTION,IMPROPER OVERTAKING/PASSING,19895
SIDESWIPE SAME DIRECTION,FAILING TO YIELD RIGHT-OF-WAY,12055
TRAIN,UNABLE TO DETERMINE,9
TRAIN,DISREGARDING OTHER TRAFFIC SIGNS,7
TRAIN,DISREGARDING TRAFFIC SIGNALS,5
TURNING,UNABLE TO DETERMINE,29350
TURNING,FAILING TO YIELD RIGHT-OF-WAY,24511
TURNING,IMPROPER TURNING/NO SIGNAL,16804
